timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
36 6 16 0.3635127489587946 0.036487251041205426
37 6 16 0.3036719437566433 0.09632805624335672
40 9 13 0.37062942314833375 0.029370576851666275
41 9 13 0.35368096700839835 0.04631903299160167
42 9 13 0.38011929453748783 0.019880705462512194
46 13 15 0.30634580521771176 0.09365419478228826
54 18 22 0.37811978808523355 0.021880211914766468
55 18 22 0.35431688471565914 0.04568311528434088
55 20 22 0.39571488472864413 0.004285115271355888
55 20 24 0.3799699983596239 0.020030001640376105
56 18 22 0.335695280161385 0.06430471983861502
56 20 24 0.345715131682671 0.05428486831732904
57 20 24 0.3436071193738371 0.05639288062616293
57 22 24 0.39918739925649876 8.126007435012572E-4
58 20 24 0.36419947116155116 0.035800528838448864
58 22 24 0.35181216525928194 0.04818783474071808
59 20 24 0.37722886988987925 0.022771130110120774
60 20 24 0.3893419722601677 0.010658027739832321
61 20 24 0.3968963329191278 0.00310366708087223
61 20 30 0.39018090877503514 0.009819091224964882
62 20 30 0.3535788180879481 0.04642118191205191
62 30 32 0.38596442631019356 0.014035573689806458
63 20 30 0.35300140131693086 0.04699859868306916
64 20 30 0.3804963468139831 0.019503653186016934
64 32 35 0.38422474452192884 0.015775255478071182
65 32 35 0.38435647812022194 0.015643521879778077
66 20 26 0.35667410002607813 0.04332589997392189
67 20 26 0.323156895481163 0.07684310451883702
68 20 26 0.2987174443180185 0.10128255568198152
69 20 26 0.3077024414623543 0.09229755853764571
70 20 26 0.37735196838265717 0.022648031617342856
70 31 34 0.37531938885728006 0.024680611142719966
71 31 34 0.3601784472772631 0.03982155272273691
72 31 34 0.3389871020319846 0.0610128979680154
73 31 34 0.32626921513349505 0.07373078486650497
74 20 35 0.3611935821498027 0.03880641785019734
74 31 34 0.32374988230079155 0.07625011769920848
75 31 34 0.34381290436070805 0.05618709563929197
76 29 31 0.3950643320387369 0.004935667961263102
76 31 34 0.3671661234793661 0.03283387652063391
77 29 31 0.37645376177904427 0.02354623822095575
77 31 34 0.38411523978301904 0.015884760216980987
77 40 45 0.397175722625775 0.002824277374225026
78 29 31 0.37099410425963075 0.02900589574036927
78 31 34 0.39045718460099677 0.009542815399003257
78 38 47 0.3759810946173533 0.024018905382646727
78 40 45 0.3953749454723607 0.0046250545276393384
79 29 31 0.37260015245694855 0.02739984754305147
79 31 34 0.37577500858017526 0.02422499141982476
79 38 47 0.3688608199556655 0.031139180044334525
80 29 31 0.36839300076995707 0.031606999230042954
80 31 34 0.3814946798773461 0.018505320122653934
80 38 47 0.3901081974152587 0.009891802584741316
81 29 41 0.38688813822743573 0.013111861772564293
82 29 41 0.31503191115973167 0.08496808884026835
83 29 41 0.3641260789344624 0.035873921065537606
85 31 38 0.3801007677839982 0.019899232216001816
86 29 43 0.33065952771430007 0.06934047228569995
86 31 38 0.3856330966976105 0.014366903302389544
87 29 43 0.3514973036211418 0.048502696378858234
87 31 38 0.38364944447778515 0.01635055552221487
88 31 47 0.391741970477061 0.008258029522939025
88 50 51 0.3852153013576466 0.014784698642353433
89 40 45 0.3981556241472273 0.001844375852772695
89 50 51 0.36647082343513715 0.03352917656486287
90 50 51 0.3483285979283664 0.05167140207163362
91 48 58 0.3804835005656496 0.01951649943435041
91 50 51 0.34068354138628265 0.05931645861371737
92 48 58 0.34505031738108055 0.05494968261891947
92 50 51 0.33405905985663253 0.06594094014336749
93 48 58 0.3167463559096773 0.08325364409032271
93 50 51 0.3260524095376128 0.07394759046238725
94 48 58 0.31278601904167835 0.08721398095832167
94 50 51 0.35222780068454407 0.047772199315455954
95 31 40 0.38235949624778726 0.017640503752212766
95 47 51 0.3621248603520064 0.037875139647993605
95 48 58 0.3461127563668519 0.05388724363314812
96 31 40 0.3752482914979658 0.02475170850203423
96 47 51 0.3160980298689804 0.08390197013101963
97 47 51 0.2980744510505358 0.1019255489494642
98 40 47 0.3808116230791524 0.019188376920847627
98 47 51 0.3689846728280488 0.031015327171951212
99 40 47 0.3191969009972427 0.08080309900275734
100 40 47 0.3906274518900788 0.00937254810992122
103 48 58 0.37050869982194184 0.029491300178058177
103 52 59 0.3859346046459126 0.014065395354087407
103 55 63 0.39777876906915927 0.0022212309308407563
104 48 58 0.3254818218479829 0.07451817815201711
104 52 59 0.36904866152111165 0.03095133847888837
104 62 64 0.3811520660701112 0.018847933929888816
105 45 51 0.381137763304912 0.01886223669508802
105 48 58 0.3093003796545893 0.09069962034541074
105 51 54 0.39935084439678437 6.491556032156565E-4
105 52 59 0.3592812769924966 0.0407187230075034
105 62 64 0.3787764348718834 0.021223565128116628
106 45 48 0.3638823016072255 0.03611769839277451
106 48 58 0.31333022249672504 0.08666977750327498
106 52 59 0.3786362809881585 0.02136371901184153
106 62 64 0.38240479477729383 0.01759520522270619
107 45 48 0.39853752099647133 0.0014624790035286939
107 48 58 0.29986567247451795 0.10013432752548207
107 64 68 0.39601410799907943 0.003985892000920588
108 48 58 0.3063263065235204 0.09367369347647964
108 64 68 0.3753489059958277 0.024651094004172314
109 48 58 0.31903977554540214 0.08096022445459788
110 48 58 0.3395760003868663 0.060423999613133716
111 48 50 0.3953273049272316 0.004672695072768407
112 48 50 0.3221094906491971 0.07789050935080294
113 48 50 0.3621150772984879 0.037884922701512114
118 55 58 0.3577159070879828 0.042284092912017235
120 69 70 0.37349554933188783 0.02650445066811219
121 69 70 0.34559466410434403 0.05440533589565599
122 69 70 0.32334170149802466 0.07665829850197536
123 52 59 0.39390955214613704 0.006090447853862979
123 57 66 0.37606863755571124 0.023931362444288784
123 58 62 0.39157362822883707 0.008426371771162955
123 69 70 0.29572286958007427 0.10427713041992576
124 52 59 0.3380343047388151 0.06196569526118495
124 57 66 0.38044743012279625 0.019552569877203774
124 69 70 0.3080775882793289 0.09192241172067112
125 52 59 0.34420003912421193 0.05579996087578809
125 57 66 0.3949581202036606 0.00504187979633941
125 69 70 0.3629141131634829 0.037085886836517146
126 49 56 0.38165475470149296 0.018345245298507062
126 52 59 0.38237351893919114 0.017626481060808885
126 57 66 0.3893225896910618 0.010677410308938207
127 52 59 0.39908208237750126 9.179176224987651E-4
127 57 66 0.37611352379619306 0.02388647620380696
127 70 79 0.3892083963310178 0.010791603668982241
128 52 64 0.3700168265553616 0.02998317344463841
128 57 66 0.3736374146140627 0.02636258538593733
128 69 70 0.399195844323525 8.041556764750157E-4
128 70 79 0.3890848404302156 0.01091515956978445
129 52 64 0.3253648439794653 0.07463515602053472
129 57 66 0.38809762217736504 0.01190237782263498
129 66 76 0.39940031126612446 5.996887338755585E-4
130 52 64 0.3874637184990759 0.012536281500924118
130 66 76 0.38217489366442203 0.01782510633557799
131 66 76 0.3719931672619662 0.028006832738033838
132 66 76 0.3754153906007003 0.02458460939929974
132 80 87 0.3949030321555256 0.005096967844474443
133 66 76 0.37897045711506905 0.021029542884930974
134 57 69 0.3912602054511718 0.008739794548828228
134 66 76 0.3653895472724605 0.03461045272753954
135 57 69 0.37134694331857426 0.02865305668142576
135 57 73 0.39497455230219014 0.005025447697809882
135 66 76 0.34963458181275336 0.05036541818724666
136 57 69 0.38833227015002325 0.011667729849976771
136 57 73 0.37966943368793477 0.020330566312065257
136 66 76 0.34921923660519466 0.05078076339480536
137 57 73 0.35416679630653114 0.04583320369346888
137 66 76 0.3658850445076415 0.034114955492358545
137 70 76 0.38667009248950834 0.013329907510491679
137 77 84 0.3824586684628904 0.017541331537109628
137 85 89 0.39221561716930203 0.007784382830697989
138 57 73 0.31649725483640245 0.08350274516359757
138 66 76 0.38974943205067103 0.010250567949328993
138 70 76 0.3837605287319702 0.016239471268029826
138 77 84 0.36447026082520084 0.03552973917479918
138 85 89 0.38487107607607235 0.015128923923927673
139 57 73 0.2707039056374939 0.1292960943625061
139 66 84 0.3787148173227088 0.021285182677291237
139 77 84 0.3513244197958883 0.048675580204111724
139 85 89 0.38637009111275683 0.013629908887243192
140 57 73 0.22963614556657133 0.1703638544334287
140 66 84 0.367253629152743 0.03274637084725701
140 77 84 0.3462571696169596 0.053742830383040396
141 57 73 0.2511672703227635 0.14883272967723654
141 66 84 0.3801921390952199 0.019807860904780095
141 77 84 0.3559477337868233 0.044052266213176705
142 57 73 0.3873880302178331 0.012611969782166943
142 66 84 0.39513215103178406 0.00486784896821596
142 77 84 0.3816670580309132 0.018332941969086802
142 83 84 0.3962151398543845 0.0037848601456155206
143 66 84 0.39727112723020164 0.002728872769798385
143 83 84 0.36318729629707414 0.036812703702925886
144 73 76 0.3865176910012321 0.0134823089987679
144 83 84 0.3426955182081996 0.05730448179180042
144 83 86 0.3944301975797281 0.005569802420271941
145 73 76 0.31104759936233717 0.08895240063766285
145 83 84 0.32804572107710905 0.07195427892289097
145 83 86 0.379581574093356 0.020418425906644
146 73 76 0.2815236522970141 0.11847634770298593
146 81 88 0.35705405864117856 0.04294594135882146
146 83 84 0.32138156889453434 0.07861843110546568
146 83 86 0.39334004955856167 0.006659950441438356
147 81 88 0.3049343331337695 0.09506566686623052
